Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Subject	Behavior	Behavioral category	Behavior type	Time	Media file name	Image index	Image file path	Comment
Sept07	2023-09-07 08:00:28		14339.128	Live observation	NA	NA	NA	DMO-10	BR_D	BR	START	7.455	NA	NA	NA	
Sept07	2023-09-07 08:00:28		14339.128	Live observation	NA	NA	NA	DMO-13	BR_A	BR	START	83.395	NA	NA	NA	
Sept07	2023-09-07 08:00:28		14339.128	Live observation	NA	NA	NA	DMO-13	BR_A	BR	STOP	126.792	NA	NA	NA	
Sept07	2023-09-07 08:00:28		14339.128	Live observation	NA	NA	NA	DMO-10	BR_D	BR	STOP	138.751	NA	NA	NA	
Sept07	2023-09-07 08:00:28		14339.128	Live observation	NA	NA	NA	DMO-10	BR_A	BR	START	138.751	NA	NA	NA	
Sept07	2023-09-07 08:00:28		14339.128	Live observation	NA	NA	NA	DM1-18a	BR_A	BR	START	148.459	NA	NA	NA	
Sept07	2023-09-07 08:00:28		14339.128	Live observation	NA	NA	NA	DMO-10	BR_A	BR	STOP	160.883	NA	NA	NA	
Sept07	2023-09-07 08:00:28		14339.128	Live observation	NA	NA	NA	DMO-10	BR_C	BR	START	167.565	NA	NA	NA	
Sept07	2023-09-07 08:00:28		14339.128	Live observation	NA	NA	NA	DM1-18a	BR_A	BR	STOP	195.199	NA	NA	NA	
Sept07	2023-09-07 08:00:28		14339.128	Live observation	NA	NA	NA	DMO-10	BR_C	BR	STOP	203.151	NA	NA	NA	
Sept07	2023-09-07 08:00:28		14339.128	Live observation	NA	NA	NA	DMO-10	BR_B	BR	START	203.151	NA	NA	NA	
Sept07	2023-09-07 08:00:28		14339.128	Live observation	NA	NA	NA	DMO-10	BR_B	BR	STOP	228.959	NA	NA	NA	
Sept07	2023-09-07 08:00:28		14339.128	Live observation	NA	NA	NA	DMO-10	BR_C	BR	START	228.959	NA	NA	NA	
Sept07	2023-09-07 08:00:28		14339.128	Live observation	NA	NA	NA	DMO-10	BR_C	BR	STOP	234.327	NA	NA	NA	
Sept07	2023-09-07 08:00:28		14339.128	Live observation	NA	NA	NA	DMO-10	BR_D	BR	START	234.327	NA	NA	NA	
Sept07	2023-09-07 08:00:28		14339.128	Live observation	NA	NA	NA	DMO-10	TWRL_D	TWRL	START	247.968	NA	NA	NA	
Sept07	2023-09-07 08:00:28		14339.128	Live observation	NA	NA	NA	DMO-10	TWRL_D	TWRL	STOP	253.267	NA	NA	NA	
Sept07	2023-09-07 08:00:28		14339.128	Live observation	NA	NA	NA	DM1-18a	BR_A	BR	START	259.177	NA	NA	NA	
Sept07	2023-09-07 08:00:28		14339.128	Live observation	NA	NA	NA	DM1-18a	TWRL_A	TWRL	START	318.462	NA	NA	NA	
Sept07	2023-09-07 08:00:28		14339.128	Live observation	NA	NA	NA	DM1-18a	TWRL_A	TWRL	STOP	330.652	NA	NA	NA	
Sept07	2023-09-07 08:00:28		14339.128	Live observation	NA	NA	NA	DMO-10	BR_D	BR	STOP	333.018	NA	NA	NA	
Sept07	2023-09-07 08:00:28		14339.128	Live observation	NA	NA	NA	DM1-18a	TWRL_A	TWRL	START	343.838	NA	NA	NA	
Sept07	2023-09-07 08:00:28		14339.128	Live observation	NA	NA	NA	DM1-18a	TWRL_A	TWRL	STOP	350.784	NA	NA	NA	
Sept07	2023-09-07 08:00:28		14339.128	Live observation	NA	NA	NA	DMO-10	BR_D	BR	START	353.416	NA	NA	NA	
Sept07	2023-09-07 08:00:28		14339.128	Live observation	NA	NA	NA	DMO-16	BR_A	BR	START	398.756	NA	NA	NA	
Sept07	2023-09-07 08:00:28		14339.128	Live observation	NA	NA	NA	DM1-18a	BR_A	BR	STOP	405.969	NA	NA	NA	
Sept07	2023-09-07 08:00:28		14339.128	Live observation	NA	NA	NA	DMO-16	BR_A	BR	STOP	417.397	NA	NA	NA	
Sept07	2023-09-07 08:00:28		14339.128	Live observation	NA	NA	NA	DM1-18a	BR_A	BR	START	421.145	NA	NA	NA	
Sept07	2023-09-07 08:00:28		14339.128	Live observation	NA	NA	NA	DM1-18a	BR_A	BR	STOP	439.832	NA	NA	NA	
Sept07	2023-09-07 08:00:28		14339.128	Live observation	NA	NA	NA	DMO-16	BR_B	BR	START	474.533	NA	NA	NA	
Sept07	2023-09-07 08:00:28		14339.128	Live observation	NA	NA	NA	DMO-10	BR_D	BR	STOP	480.686	NA	NA	NA	
Sept07	2023-09-07 08:00:28		14339.128	Live observation	NA	NA	NA	DMO-16	BR_B	BR	STOP	490.183	NA	NA	NA	
Sept07	2023-09-07 08:00:28		14339.128	Live observation	NA	NA	NA	DMO-16	BR_A	BR	START	490.183	NA	NA	NA	
Sept07	2023-09-07 08:00:28		14339.128	Live observation	NA	NA	NA	DM1-18a	TWRL_A	TWRL	START	501.301	NA	NA	NA	
Sept07	2023-09-07 08:00:28		14339.128	Live observation	NA	NA	NA	DM1-18a	BR_A	BR	START	513.633	NA	NA	NA	
Sept07	2023-09-07 08:00:28		14339.128	Live observation	NA	NA	NA	DM1-18a	TWRL_A	TWRL	STOP	527.763	NA	NA	NA	
Sept07	2023-09-07 08:00:28		14339.128	Live observation	NA	NA	NA	DM1-18a	BR_A	BR	STOP	545.844	NA	NA	NA	
Sept07	2023-09-07 08:00:28		14339.128	Live observation	NA	NA	NA	DM1-18a	BR_B	BR	START	545.844	NA	NA	NA	
Sept07	2023-09-07 08:00:28		14339.128	Live observation	NA	NA	NA	DMO-16	BR_A	BR	STOP	552.529	NA	NA	NA	
Sept07	2023-09-07 08:00:28		14339.128	Live observation	NA	NA	NA	DMO-16	BR_C	BR	START	552.529	NA	NA	NA	
Sept07	2023-09-07 08:00:28		14339.128	Live observation	NA	NA	NA	DM1-18a	BR_B	BR	STOP	584.629	NA	NA	NA	
Sept07	2023-09-07 08:00:28		14339.128	Live observation	NA	NA	NA	DM1-18a	BR_A	BR	START	584.629	NA	NA	NA	
Sept07	2023-09-07 08:00:28		14339.128	Live observation	NA	NA	NA	DMO-10	BR_B	BR	START	589.143	NA	NA	NA	
Sept07	2023-09-07 08:00:28		14339.128	Live observation	NA	NA	NA	DMO-10	BR_B	BR	STOP	607.063	NA	NA	NA	
Sept07	2023-09-07 08:00:28		14339.128	Live observation	NA	NA	NA	DMO-16	BR_C	BR	STOP	612.003	NA	NA	NA	
Sept07	2023-09-07 08:00:28		14339.128	Live observation	NA	NA	NA	DM1-18a	BR_A	BR	STOP	633.639	NA	NA	NA	
Sept07	2023-09-07 08:00:28		14339.128	Live observation	NA	NA	NA	DM1-18a	BR_D	BR	START	633.639	NA	NA	NA	
Sept07	2023-09-07 08:00:28		14339.128	Live observation	NA	NA	NA	DMO-13	BR_A	BR	START	643.161	NA	NA	NA	
Sept07	2023-09-07 08:00:28		14339.128	Live observation	NA	NA	NA	DMO-13	BR_A	BR	STOP	662.822	NA	NA	NA	
Sept07	2023-09-07 08:00:28		14339.128	Live observation	NA	NA	NA	DM1-18a	BR_D	BR	STOP	675.138	NA	NA	NA	
Sept07	2023-09-07 08:00:28		14339.128	Live observation	NA	NA	NA	DM1-18a	BR_C	BR	START	675.138	NA	NA	NA	
Sept07	2023-09-07 08:00:28		14339.128	Live observation	NA	NA	NA	DMO-16	BR_C	BR	START	693.165	NA	NA	NA	
Sept07	2023-09-07 08:00:28		14339.128	Live observation	NA	NA	NA	DM1-18a	BR_C	BR	STOP	723.100	NA	NA	NA	
Sept07	2023-09-07 08:00:28		14339.128	Live observation	NA	NA	NA	DM1-18a	BR_D	BR	START	723.100	NA	NA	NA	
Sept07	2023-09-07 08:00:28		14339.128	Live observation	NA	NA	NA	DM1-18a	BR_D	BR	STOP	726.727	NA	NA	NA	
