Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Subject	Behavior	Behavioral category	Behavior type	Time	Media file name	Image index	Image file path	Comment
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-18a	TWRL_D	TWRL	STOP	371.533	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-16	BR_A	BR	START	383.607	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-16	BR_A	BR	STOP	399.267	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-16	BR_C	BR	START	401.840	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-16	BR_C	BR	STOP	428.360	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-16	BR_A	BR	START	428.360	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-16	BR_A	BR	STOP	451.754	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-16	BR_A	BR	START	475.440	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-18a	BR_C	BR	STOP	511.734	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-16	BR_A	BR	STOP	534.097	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	BR_A	BR	START	537.302	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	BR_A	BR	STOP	563.921	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	BR_C	BR	START	590.092	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-18a	BR_D	BR	START	596.909	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-18a	BR_D	BR	STOP	600.260	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-18a	BR_A	BR	START	600.260	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	BR_C	BR	STOP	610.981	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-18a	BR_A	BR	STOP	619.626	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-18a	BR_A	BR	START	646.161	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	BR_C	BR	START	700.009	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	BR_C	BR	STOP	704.695	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-16	BR_C	BR	START	729.237	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	BR_A	BR	START	733.371	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	BR_A	BR	STOP	737.180	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	BR_C	BR	START	737.657	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	BR_C	BR	STOP	742.697	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	BR_C	BR	START	748.694	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	TWRL_D	TWRL	START	756.007	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	TWRL_D	TWRL	STOP	760.810	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	TWRL_D	TWRL	START	777.345	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	TWRL_D	TWRL	STOP	780.240	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-16	BR_C	BR	STOP	787.844	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-18a	BR_A	BR	STOP	794.807	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-18a	BR_B	BR	START	794.807	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	BR_C	BR	STOP	800.240	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	BR_B	BR	START	801.821	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-18a	BR_B	BR	STOP	830.418	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-16	BR_C	BR	START	843.728	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-16	BR_C	BR	STOP	858.799	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	BR_B	BR	STOP	862.143	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	BR_B	BR	START	866.251	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	BR_B	BR	STOP	872.337	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-16	BR_A	BR	START	881.839	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	BR_C	BR	START	884.891	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-16	BR_A	BR	STOP	896.755	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-16	BR_C	BR	START	905.306	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	BR_C	BR	STOP	910.251	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	BR_B	BR	START	912.587	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-18a	BR_C	BR	START	918.982	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-16	BR_C	BR	STOP	941.088	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-18a	BR_C	BR	STOP	942.701	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	BR_B	BR	STOP	950.409	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-18a	BR_C	BR	START	966.465	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	BR_C	BR	START	983.902	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	BR_C	BR	STOP	985.784	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-16	BR_C	BR	START	989.083	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-18a	BR_C	BR	STOP	999.189	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	BR_A	BR	START	1015.261	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-18a	BR_C	BR	START	1025.773	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	BR_A	BR	STOP	1050.174	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-16	BR_C	BR	STOP	1076.598	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	BR_B	BR	START	1080.336	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	BR_B	BR	STOP	1083.888	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-18a	BR_C	BR	STOP	1110.523	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-20a	BR_A	BR	START	1115.040	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-20a	BR_A	BR	STOP	1120.025	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-16	BR_C	BR	START	1138.890	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-16	BR_C	BR	STOP	1213.895	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-20a	BR_A	BR	START	1274.518	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-20a	BR_A	BR	STOP	1293.028	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-18a	TWRL_D	TWRL	START	1329.949	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-18a	BR_C	BR	START	1332.390	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-18a	TWRL_D	TWRL	STOP	1334.446	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-18a	BR_C	BR	STOP	1365.149	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-18a	BR_C	BR	START	1373.231	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-18a	BR_C	BR	STOP	1392.638	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	BR_C	BR	START	1430.185	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	BR_C	BR	STOP	1432.508	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	BR_D	BR	START	1432.508	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	BR_D	BR	STOP	1439.926	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	BR_C	BR	START	1439.926	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-16	BR_C	BR	START	1448.519	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	BR_C	BR	STOP	1452.891	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-16	BR_C	BR	STOP	1480.909	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	BR_C	BR	START	1486.287	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-18a	BR_A	BR	START	1492.366	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-18a	TWRL_A	TWRL	START	1496.767	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-18a	TWRL_A	TWRL	STOP	1498.392	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-18a	BR_A	BR	STOP	1499.584	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	BR_C	BR	STOP	1509.027	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	BR_B	BR	START	1509.027	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-20a	BR_A	BR	START	1524.813	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	BR_B	BR	STOP	1541.276	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	BR_C	BR	START	1541.276	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-20a	BR_A	BR	STOP	1546.400	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-18a	BR_C	BR	START	1549.476	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	BR_C	BR	STOP	1557.550	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	BR_B	BR	START	1557.550	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-18a	BR_C	BR	STOP	1567.708	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-16	BR_C	BR	START	1572.577	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-9	BR_A	BR	START	1581.101	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-9	BR_A	BR	STOP	1585.665	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	BR_B	BR	STOP	1590.057	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	BR_C	BR	START	1590.057	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-9	BR_A	BR	START	1610.032	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-9	BR_A	BR	STOP	1620.036	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	BR_C	BR	STOP	1624.625	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	BR_D	BR	START	1624.625	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	BR_D	BR	STOP	1630.376	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-18a	BR_C	BR	START	1634.847	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	BR_C	BR	START	1647.386	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-16	BR_C	BR	STOP	1671.604	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	BR_C	BR	STOP	1705.605	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-18a	BR_C	BR	STOP	1716.144	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	BR_B	BR	START	1723.885	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-20a	BR_C	BR	START	1733.558	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-20a	BR_C	BR	STOP	1734.078	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-20a	BR_D	BR	START	1734.464	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-9	BR_A	BR	START	1743.448	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	BR_B	BR	STOP	1752.425	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	BR_B	BR	START	1778.306	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-9	BR_A	BR	STOP	1795.667	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-9	BR_B	BR	START	1795.667	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-18a	BR_A	BR	START	1804.485	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-20a	BR_D	BR	STOP	1807.750	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-16	BR_C	BR	START	1820.181	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	BR_B	BR	STOP	1825.913	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-16	BR_C	BR	STOP	1844.245	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-9	BR_B	BR	STOP	1848.209	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-20a	BR_D	BR	START	1861.142	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-18a	BR_A	BR	STOP	1866.420	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-9	BR_B	BR	START	1876.623	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-9	BR_B	BR	STOP	1898.598	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-20a	BR_D	BR	STOP	1904.124	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-20a	BR_C	BR	START	1904.124	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-18a	BR_C	BR	START	1907.041	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-16	BR_A	BR	START	1914.948	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-20a	BR_C	BR	STOP	1924.755	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-20a	BR_D	BR	START	1924.755	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-18a	BR_C	BR	STOP	1929.555	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-18a	BR_D	BR	START	1929.555	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-18a	BR_D	BR	STOP	1935.235	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-18a	BR_A	BR	START	1935.235	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-18a	BR_A	BR	STOP	1938.925	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-18a	TWRL_D	TWRL	START	1946.898	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-18a	BR_C	BR	START	1950.144	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-18a	TWRL_D	TWRL	STOP	1951.840	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-20a	BR_D	BR	STOP	1955.536	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	BR_B	BR	START	1959.758	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-16	BR_A	BR	STOP	1966.202	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-16	BR_A	BR	START	1978.320	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	BR_B	BR	STOP	1998.007	NA	NA	NA	
